run,sensor,class,final_misalign_deg,final_d_m,final_pos_x,final_pos_y,final_pos_z
2,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
2,4,slip_near_wall,82.3,0.3036,0.330,0.141,0.045
3,4,slip_near_wall,59.5,0.2479,0.354,0.144,0.116
4,1,slip_near_wall,51.5,0.3362,0.348,-0.135,0.017
5,4,slip_near_wall,81.3,0.3164,0.325,0.138,0.022
6,3,slip_near_wall,138.6,0.3481,0.348,0.115,0.017
7,4,slip_near_wall,86.4,0.3358,0.354,0.144,0.017
8,3,slip_near_wall,32.2,0.3368,0.333,0.080,0.017
8,4,slip_near_wall,84.8,0.3009,0.325,0.148,0.043
9,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
10,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
10,4,slip_near_wall,90.0,0.3531,0.354,0.157,0.020
11,1,slip_near_wall,7.8,0.3365,0.337,-0.124,0.017
11,3,slip_near_wall,90.0,0.3251,0.307,0.081,0.020
12,1,gate_jammed,43.5,0.0166,0.373,-0.138,0.371
12,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
14,1,gate_borderline,15.5,0.0148,0.370,-0.151,0.365
14,4,slip_near_wall,90.0,0.3532,0.353,0.145,0.020
15,4,slip_near_wall,3.3,0.3366,0.328,0.146,0.017
16,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
17,2,gate_borderline,15.6,0.0149,0.370,-0.050,0.366
17,4,gate_borderline,15.6,0.0149,0.370,0.151,0.366
18,1,slip_near_wall,37.9,0.3374,0.345,-0.121,0.017
18,4,slip_near_wall,47.8,0.2468,0.354,0.134,0.116
19,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
20,1,slip_near_wall,83.2,0.3229,0.344,-0.146,0.032
20,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
21,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
22,3,slip_near_wall,38.5,0.3420,0.316,0.104,0.017
23,1,slip_near_wall,90.0,0.3215,0.335,-0.095,0.020
23,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
24,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
25,4,slip_near_wall,90.0,0.3186,0.331,0.125,0.020
26,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
28,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
28,3,gate_borderline,15.5,0.0148,0.370,0.050,0.366
28,4,slip_near_wall,86.2,0.3047,0.328,0.145,0.046
29,1,slip_near_wall,88.2,0.3189,0.325,-0.131,0.021
29,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
30,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
32,3,gate_borderline,15.6,0.0149,0.370,0.051,0.366
32,4,slip_near_wall,90.0,0.3526,0.360,0.136,0.020
33,1,gate_borderline,19.3,0.0148,0.371,-0.146,0.366
34,4,slip_near_wall,90.0,0.3210,0.325,0.114,0.020
35,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
35,3,slip_near_wall,90.0,0.3225,0.319,0.087,0.020
37,3,gate_borderline,15.5,0.0148,0.370,0.050,0.366
38,1,gate_jammed,29.5,0.0149,0.372,-0.140,0.366
39,1,slip_near_wall,90.0,0.3517,0.367,-0.143,0.020
39,3,slip_near_wall,104.8,0.3076,0.353,0.099,0.031
40,4,slip_near_wall,90.0,0.3197,0.326,0.125,0.020
41,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
41,3,gate_borderline,15.5,0.0148,0.370,0.050,0.366
42,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
43,1,slip_near_wall,34.5,0.3381,0.336,-0.122,0.017
43,3,gate_borderline,15.6,0.0149,0.370,0.050,0.366
43,4,slip_near_wall,11.4,0.3336,0.353,0.148,0.017
44,2,gate_borderline,15.5,0.0148,0.370,-0.050,0.366
45,4,slip_near_wall,90.0,0.3529,0.356,0.140,0.020
46,1,gate_borderline,22.1,0.0146,0.371,-0.157,0.365
46,2,gate_borderline,15.6,0.0149,0.370,-0.050,0.366
46,3,gate_borderline,15.1,0.0148,0.370,0.052,0.365
47,4,slip_near_wall,32.1,0.3345,0.351,0.121,0.017
49,1,slip_near_wall,90.0,0.3210,0.322,-0.120,0.020
50,3,gate_borderline,15.5,0.0148,0.370,0.050,0.366
50,4,slip_near_wall,46.4,0.2486,0.355,0.130,0.113
