run,result,welds,misalign_deg,abort_stage,error,duration_s,classification
1,COMPLETE,4,13.8|14.8|14.7|14.5,-,-,377,pass
2,COMPLETE,2,14.0|14.8,-,-,382,partial_weld+gate_reject[s2]+slip[s4]
3,COMPLETE,3,14.6|14.9|15.0,-,-,378,partial_weld+slip[s4]
4,COMPLETE,3,14.3|15.0|14.4,-,-,378,partial_weld+slip[s1]
5,COMPLETE,3,13.7|14.8|14.7,-,-,378,partial_weld+slip[s4]
6,COMPLETE,3,14.7|15.0|14.5,-,-,377,partial_weld+slip[s3]
7,COMPLETE,3,14.1|14.8|14.5,-,-,379,partial_weld+slip[s4]
8,COMPLETE,2,13.7|14.9,-,-,379,partial_weld+slip[s3]+slip[s4]
9,COMPLETE,3,15.0|14.8|14.5,-,-,380,partial_weld+gate_reject[s3]
10,COMPLETE,2,14.8|14.7,-,-,380,partial_weld+gate_reject[s3]+slip[s4]
11,COMPLETE,2,14.9|14.6,-,-,383,partial_weld+slip[s1]+slip[s3]
12,COMPLETE,2,14.4|14.4,-,-,384,partial_weld+gate_reject[s1]+gate_reject[s2]
13,COMPLETE,4,13.7|14.9|14.2|14.2,-,-,381,pass
14,COMPLETE,2,14.9|14.7,-,-,380,partial_weld+gate_reject[s1]+slip[s4]
15,COMPLETE,3,14.9|14.0|14.7,-,-,377,partial_weld+slip[s4]
16,COMPLETE,3,14.7|14.4|14.6,-,-,383,partial_weld+gate_reject[s2]
17,COMPLETE,2,15.0|14.9,-,-,379,partial_weld+gate_reject[s2]+gate_reject[s4]
18,COMPLETE,2,14.8|14.6,-,-,378,partial_weld+slip[s1]+slip[s4]
19,COMPLETE,3,14.9|14.3|14.4,-,-,382,partial_weld+gate_reject[s2]
20,COMPLETE,2,14.3|15.0,-,-,381,partial_weld+slip[s1]+gate_reject[s2]
21,COMPLETE,3,14.2|14.8|14.2,-,-,380,partial_weld+gate_reject[s3]
22,COMPLETE,3,13.7|14.9|13.8,-,-,376,partial_weld+slip[s3]
23,COMPLETE,2,14.8|15.0,-,-,381,partial_weld+slip[s1]+gate_reject[s3]
24,COMPLETE,3,14.7|14.2|14.5,-,-,382,partial_weld+gate_reject[s2]
25,COMPLETE,3,14.5|14.6|14.6,-,-,379,partial_weld+slip[s4]
26,COMPLETE,3,13.6|14.9|15.0,-,-,384,partial_weld+gate_reject[s2]
27,COMPLETE,4,14.5|14.5|14.1|14.0,-,-,378,pass
28,COMPLETE,1,14.5,-,-,381,partial_weld+gate_reject[s2]+gate_reject[s3]+slip[s4]
29,COMPLETE,2,14.7|13.6,-,-,382,partial_weld+slip[s1]+gate_reject[s3]
30,COMPLETE,3,14.3|14.9|14.5,-,-,379,partial_weld+gate_reject[s3]
31,COMPLETE,4,14.7|14.4|14.9|14.2,-,-,379,pass
32,COMPLETE,2,14.8|14.7,-,-,382,partial_weld+gate_reject[s3]+slip[s4]
33,COMPLETE,3,15.0|14.9|14.6,-,-,382,partial_weld+gate_reject[s1]
34,COMPLETE,3,15.0|14.9|14.9,-,-,381,partial_weld+slip[s4]
35,COMPLETE,2,14.5|14.6,-,-,384,partial_weld+gate_reject[s2]+slip[s3]
36,COMPLETE,4,14.2|14.9|14.6|14.6,-,-,383,pass
37,COMPLETE,3,14.7|14.9|14.6,-,-,380,partial_weld+gate_reject[s3]
38,COMPLETE,3,14.4|14.7|14.6,-,-,385,partial_weld+gate_reject[s1]
39,COMPLETE,2,14.9|14.7,-,-,377,partial_weld+slip[s1]+slip[s3]
40,COMPLETE,3,15.0|14.4|14.5,-,-,376,partial_weld+slip[s4]
41,COMPLETE,2,14.8|14.5,-,-,379,partial_weld+gate_reject[s2]+gate_reject[s3]
42,COMPLETE,3,14.3|14.8|14.4,-,-,379,partial_weld+gate_reject[s3]
43,COMPLETE,1,14.9,-,-,381,partial_weld+slip[s1]+gate_reject[s3]+slip[s4]
44,COMPLETE,3,14.6|14.5|14.6,-,-,384,partial_weld+gate_reject[s2]
45,COMPLETE,3,14.7|14.9|14.8,-,-,380,partial_weld+slip[s4]
46,COMPLETE,1,14.5,-,-,385,partial_weld+gate_reject[s1]+gate_reject[s2]+gate_reject[s3]
47,COMPLETE,3,13.9|15.0|14.5,-,-,380,partial_weld+slip[s4]
48,COMPLETE,4,14.1|15.0|14.1|14.1,-,-,384,pass
49,COMPLETE,3,14.9|14.3|14.9,-,-,380,partial_weld+slip[s1]
50,COMPLETE,2,15.0|14.8,-,-,379,partial_weld+gate_reject[s3]+slip[s4]
