run,result,welds,misalign_deg,abort_stage,error,duration_s,classification
1,COMPLETE,3,15.3|14.1|14.0,-,-,384,partial_weld+slip[s1]
2,COMPLETE,3,14.9|15.1|14.5,-,-,376,partial_weld+slip[s4]
3,COMPLETE,4,13.9|15.5|15.7|14.6,-,-,379,pass
4,COMPLETE,3,15.0|15.0|16.2,-,-,378,partial_weld+slip[s4]
5,COMPLETE,4,13.6|14.9|15.2|14.8,-,-,381,pass
6,COMPLETE,4,14.7|15.5|15.6|13.2,-,-,380,pass
7,COMPLETE,3,14.9|15.0|13.9,-,-,377,partial_weld+slip[s4]
8,COMPLETE,3,15.1|15.6|14.8,-,-,385,partial_weld+slip[s1]
9,COMPLETE,3,14.1|14.9|15.4,-,-,376,partial_weld+slip[s4]
10,COMPLETE,4,13.9|14.4|14.5|14.5,-,-,388,pass
11,COMPLETE,4,14.1|15.5|14.7|14.5,-,-,379,pass
12,COMPLETE,3,14.3|14.5|14.9,-,-,379,partial_weld+slip[s3]
13,COMPLETE,3,15.4|14.6|14.5,-,-,381,partial_weld+slip[s1]
14,COMPLETE,4,14.3|15.0|14.3|14.8,-,-,378,pass
15,COMPLETE,4,13.8|14.8|15.9|14.6,-,-,376,pass
16,COMPLETE,3,13.7|15.4|14.2,-,-,379,partial_weld+slip[s4]
17,COMPLETE,4,14.9|15.0|14.1|14.8,-,-,380,pass
18,COMPLETE,3,14.4|14.5|14.6,-,-,378,partial_weld+slip[s3]
19,COMPLETE,3,15.0|15.0|14.5,-,-,381,partial_weld+slip[s1]
20,COMPLETE,4,13.6|14.5|15.7|14.7,-,-,379,pass
21,COMPLETE,4,14.6|14.7|14.3|14.5,-,-,383,pass
22,COMPLETE,4,14.8|14.9|14.5|14.7,-,-,377,pass
23,COMPLETE,3,14.5|15.3|15.7,-,-,379,partial_weld+slip[s4]
24,COMPLETE,3,14.8|15.5|14.8,-,-,378,partial_weld+slip[s4]
25,COMPLETE,4,15.1|15.2|14.3|14.8,-,-,377,pass
26,COMPLETE,2,14.0|14.9,-,-,376,partial_weld+slip[s3]+slip[s4]
27,COMPLETE,4,14.2|15.1|15.0|13.6,-,-,378,pass
28,COMPLETE,3,13.9|14.2|14.4,-,-,379,partial_weld+slip[s4]
29,COMPLETE,4,14.6|14.3|14.3|14.7,-,-,381,pass
30,COMPLETE,4,13.8|14.9|14.6|14.6,-,-,380,pass
31,COMPLETE,2,13.7|14.5,-,-,379,partial_weld+slip[s3]+slip[s4]
32,COMPLETE,3,15.0|14.2|15.8,-,-,376,partial_weld+slip[s4]
33,COMPLETE,2,15.6|14.4,-,-,379,partial_weld+slip[s1]+slip[s4]
34,COMPLETE,3,13.8|15.4|14.5,-,-,377,partial_weld+slip[s3]
35,COMPLETE,3,13.8|14.7|15.9,-,-,379,partial_weld+slip[s4]
36,COMPLETE,3,15.7|14.8|14.7,-,-,379,partial_weld+slip[s1]
37,COMPLETE,3,14.7|14.1|14.3,-,-,377,partial_weld+slip[s4]
38,COMPLETE,3,14.2|14.7|14.9,-,-,380,partial_weld+slip[s4]
39,COMPLETE,2,15.6|16.2,-,-,383,partial_weld+slip[s1]+slip[s4]
40,COMPLETE,3,14.4|14.8|15.2,-,-,378,partial_weld+slip[s4]
41,COMPLETE,4,14.7|15.4|15.5|14.6,-,-,380,pass
42,COMPLETE,4,14.3|15.3|15.1|14.4,-,-,377,pass
43,COMPLETE,2,14.8|15.1,-,-,381,partial_weld+slip[s3]+slip[s4]
44,COMPLETE,4,14.2|15.1|14.3|14.1,-,-,376,pass
45,COMPLETE,3,13.8|15.1|16.0,-,-,380,partial_weld+slip[s4]
46,ABORTED,0
0,-,MOVE_ARM_TO_PREGRASP,MOVE_ARM_TO_PREGRASP failed: move_action result timed out,651,move_group_crash
47,INFRA,0,-,-,isaac_no_physics,183,infra_isaac
48,INFRA,0,-,-,isaac_no_physics,184,infra_isaac
49,INFRA,0,-,-,isaac_no_physics,183,infra_isaac
50,INFRA,0,-,-,isaac_no_physics,183,infra_isaac
