run,result,welds,misalign_deg,abort_stage,error,duration_s,classification
1,COMPLETE,3,15.3|14.9|14.3,-,-,394,partial_weld+slip[s1]
2,COMPLETE,3,15.2|15.4|14.8,-,-,401,partial_weld+slip[s1]
3,COMPLETE,3,15.2|14.1|14.3,-,-,399,partial_weld+slip[s1]
4,COMPLETE,4,14.2|14.9|15.3|14.4,-,-,396,pass
5,COMPLETE,3,14.6|15.2|15.5,-,-,395,partial_weld+slip[s4]
6,COMPLETE,4,14.6|15.3|15.3|14.5,-,-,403,pass
7,COMPLETE,4,14.6|15.3|15.1|14.7,-,-,399,pass
8,COMPLETE,4,13.9|14.6|14.7|14.6,-,-,398,pass
9,COMPLETE,3,15.8|15.4|15.2,-,-,402,partial_weld+slip[s4]
10,COMPLETE,3,14.7|15.0|15.5,-,-,397,partial_weld+slip[s4]
